INDUSTRY,QUARTER,YEAR,UTILISATION,UNDER_UTILISATION
Printing and publishing,3,2019,74.8,25.2
Printing and publishing,4,2019,77.6,22.4
Printing and publishing,1,2020,76.4,23.6
Printing and publishing,2,2020,36.1,63.9
Printing and publishing,3,2020,59.8,40.2
Printing and publishing,4,2020,74.7,25.3
Printing and publishing,1,2021,74.1,25.9
Printing and publishing,2,2021,73.6,26.4
Printing and publishing,3,2021,73.8,26.2
Printing and publishing,4,2021,75.6,24.4
"Coke, petroleum products and nuclear fuel",4,2003,84.4,15.6
"Coke, petroleum products and nuclear fuel",1,2004,88.8,11.2
"Coke, petroleum products and nuclear fuel",2,2004,88.3,11.7
"Coke, petroleum products and nuclear fuel",3,2004,86.4,13.6
"Coke, petroleum products and nuclear fuel",4,2004,85.1,14.9
"Coke, petroleum products and nuclear fuel",1,2005,84.3,15.7
"Coke, petroleum products and nuclear fuel",2,2005,90.4,9.6
"Coke, petroleum products and nuclear fuel",3,2005,90.1,9.9
"Coke, petroleum products and nuclear fuel",4,2005,82.3,17.7
"Coke, petroleum products and nuclear fuel",1,2006,83.9,16.1
"Coke, petroleum products and nuclear fuel",2,2006,83.9,16.1
"Coke, petroleum products and nuclear fuel",3,2006,80.1,19.9
"Coke, petroleum products and nuclear fuel",4,2006,83.1,16.9
"Coke, petroleum products and nuclear fuel",1,2007,85.9,14.1
"Coke, petroleum products and nuclear fuel",2,2007,85.7,14.3
"Coke, petroleum products and nuclear fuel",3,2007,88.8,11.2
"Coke, petroleum products and nuclear fuel",4,2007,90.3,9.7
"Coke, petroleum products and nuclear fuel",1,2008,84.3,15.7
"Coke, petroleum products and nuclear fuel",2,2008,89.7,10.3
"Coke, petroleum products and nuclear fuel",3,2008,89.3,10.7
"Coke, petroleum products and nuclear fuel",4,2008,86.8,13.2
"Coke, petroleum products and nuclear fuel",1,2009,82.7,17.3
"Coke, petroleum products and nuclear fuel",2,2009,87.0,13.0
"Coke, petroleum products and nuclear fuel",3,2009,79.5,20.5
"Coke, petroleum products and nuclear fuel",4,2009,80.3,19.7
"Coke, petroleum products and nuclear fuel",1,2010,75.1,24.9
"Coke, petroleum products and nuclear fuel",2,2010,82.8,17.2
"Coke, petroleum products and nuclear fuel",3,2010,88.3,11.7
"Coke, petroleum products and nuclear fuel",4,2010,75.4,24.6
"Coke, petroleum products and nuclear fuel",1,2011,76.0,24.0
"Coke, petroleum products and nuclear fuel",2,2011,86.3,13.7
"Coke, petroleum products and nuclear fuel",3,2011,80.1,19.9
"Coke, petroleum products and nuclear fuel",4,2011,66.4,33.6
"Coke, petroleum products and nuclear fuel",1,2012,75.2,24.8
"Coke, petroleum products and nuclear fuel",2,2012,84.6,15.4
"Coke, petroleum products and nuclear fuel",3,2012,85.9,14.1
"Coke, petroleum products and nuclear fuel",4,2012,85.4,14.6
"Coke, petroleum products and nuclear fuel",1,2013,71.6,28.4
"Coke, petroleum products and nuclear fuel",2,2013,76.1,23.9
"Coke, petroleum products and nuclear fuel",3,2013,83.6,16.4
"Coke, petroleum products and nuclear fuel",4,2013,84.7,15.3
"Coke, petroleum products and nuclear fuel",1,2014,77.9,22.1
"Coke, petroleum products and nuclear fuel",2,2014,81.3,18.7
"Coke, petroleum products and nuclear fuel",3,2014,68.0,32.0
"Coke, petroleum products and nuclear fuel",4,2014,83.1,16.9
"Coke, petroleum products and nuclear fuel",1,2015,79.3,20.7
"Coke, petroleum products and nuclear fuel",2,2015,75.2,24.8
"Coke, petroleum products and nuclear fuel",3,2015,74.1,25.9
"Coke, petroleum products and nuclear fuel",4,2015,82.0,18.0
"Coke, petroleum products and nuclear fuel",1,2016,80.4,19.6
"Coke, petroleum products and nuclear fuel",2,2016,82.6,17.4
"Coke, petroleum products and nuclear fuel",3,2016,82.7,17.3
"Coke, petroleum products and nuclear fuel",4,2016,82.3,17.7
"Coke, petroleum products and nuclear fuel",1,2017,79.7,20.3
"Coke, petroleum products and nuclear fuel",2,2017,75.0,25.0
"Coke, petroleum products and nuclear fuel",3,2017,82.5,17.5
"Coke, petroleum products and nuclear fuel",4,2017,86.0,14.0
"Coke, petroleum products and nuclear fuel",1,2018,77.1,22.9
"Coke, petroleum products and nuclear fuel",2,2018,79.2,20.8
"Coke, petroleum products and nuclear fuel",3,2018,83.4,16.6
"Coke, petroleum products and nuclear fuel",4,2018,87.1,12.9
"Coke, petroleum products and nuclear fuel",1,2019,83.7,16.3
"Coke, petroleum products and nuclear fuel",2,2019,84.4,15.6
"Coke, petroleum products and nuclear fuel",3,2019,82.4,17.6
"Coke, petroleum products and nuclear fuel",4,2019,81.3,18.7
"Coke, petroleum products and nuclear fuel",1,2020,82.6,17.4
"Coke, petroleum products and nuclear fuel",2,2020,62.0,38.0
"Coke, petroleum products and nuclear fuel",3,2020,79.3,20.7
"Coke, petroleum products and nuclear fuel",4,2020,77.1,22.9
"Coke, petroleum products and nuclear fuel",1,2021,73.6,26.4
"Coke, petroleum products and nuclear fuel",2,2021,69.1,30.9
"Coke, petroleum products and nuclear fuel",3,2021,72.6,27.4
"Coke, petroleum products and nuclear fuel",4,2021,67.6,32.4
Basic chemicals,4,2003,81.4,18.6
Basic chemicals,1,2004,81.3,18.7
Basic chemicals,2,2004,79.4,20.6
Basic chemicals,3,2004,87.8,12.2
Basic chemicals,4,2004,88.0,12.0
Basic chemicals,1,2005,84.3,15.7
Basic chemicals,2,2005,86.6,13.4
Basic chemicals,3,2005,87.3,12.7
Basic chemicals,4,2005,90.8,9.2
Basic chemicals,1,2006,86.5,13.5
Basic chemicals,2,2006,83.9,16.1
Basic chemicals,3,2006,83.0,17.1
Basic chemicals,4,2006,87.8,12.2
Basic chemicals,1,2007,86.9,13.1
Basic chemicals,2,2007,87.5,12.5
Basic chemicals,3,2007,89.5,10.5
Basic chemicals,4,2007,90.2,9.8
Basic chemicals,1,2008,87.5,12.5
Basic chemicals,2,2008,85.6,14.4
Basic chemicals,3,2008,86.9,13.1
Basic chemicals,4,2008,83.7,16.3
Basic chemicals,1,2009,82.3,17.7
Basic chemicals,2,2009,77.4,22.6
Basic chemicals,3,2009,79.9,20.1
Basic chemicals,4,2009,81.8,18.2
Basic chemicals,1,2010,78.8,21.2
Basic chemicals,2,2010,82.6,17.4
Basic chemicals,3,2010,84.2,15.8
Basic chemicals,4,2010,84.8,15.2
Basic chemicals,1,2011,83.6,16.4
Basic chemicals,2,2011,83.1,16.9
Basic chemicals,3,2011,80.5,19.5
Basic chemicals,4,2011,85.4,14.6
Basic chemicals,1,2012,81.6,18.4
Basic chemicals,2,2012,83.1,16.9
Basic chemicals,3,2012,83.5,16.5
Basic chemicals,4,2012,85.7,14.3
Basic chemicals,1,2013,79.2,20.8
Basic chemicals,2,2013,86.7,13.3
Basic chemicals,3,2013,86.6,13.4
Basic chemicals,4,2013,88.3,11.7
Basic chemicals,1,2014,85.8,14.2
Basic chemicals,2,2014,86.1,13.9
Basic chemicals,3,2014,86.0,14.0
Basic chemicals,4,2014,86.5,13.5
Basic chemicals,1,2015,82.4,17.6
Basic chemicals,2,2015,83.0,17.0
Basic chemicals,3,2015,87.1,12.9
Basic chemicals,4,2015,84.6,15.4
Basic chemicals,1,2016,85.8,14.2
Basic chemicals,2,2016,87.8,12.2
Basic chemicals,3,2016,87.8,12.2
Basic chemicals,4,2016,88.3,11.7
Basic chemicals,1,2017,83.8,16.2
Basic chemicals,2,2017,85.7,14.3
Basic chemicals,3,2017,86.0,14.0
Basic chemicals,4,2017,89.0,11.0
Basic chemicals,1,2018,85.1,14.9
Basic chemicals,2,2018,85.1,14.9
Basic chemicals,3,2018,83.0,17.0
Basic chemicals,4,2018,89.4,10.6
Basic chemicals,1,2019,84.8,15.2
Basic chemicals,2,2019,83.4,16.6
Basic chemicals,3,2019,83.1,16.9
Basic chemicals,4,2019,85.2,14.8
Basic chemicals,1,2020,82.4,17.6
Basic chemicals,2,2020,55.5,44.5
Basic chemicals,3,2020,77.5,22.5
Basic chemicals,4,2020,85.3,14.7
Basic chemicals,1,2021,77.7,22.3
Basic chemicals,2,2021,82.1,17.9
Basic chemicals,3,2021,82.9,17.1
Basic chemicals,4,2021,86.8,13.2
Other chemicals,4,2003,78.4,21.6
Other chemicals,1,2004,80.6,19.4
Other chemicals,2,2004,79.5,20.5
Other chemicals,3,2004,73.3,26.7
Other chemicals,4,2004,76.9,23.1
Other chemicals,1,2005,75.4,24.6
Other chemicals,2,2005,75.6,24.4
Other chemicals,3,2005,80.3,19.7
Other chemicals,4,2005,82.9,17.1
Other chemicals,1,2006,78.7,21.3
Other chemicals,2,2006,81.5,18.5
Other chemicals,3,2006,77.7,22.4
Other chemicals,4,2006,79.3,20.7
Other chemicals,1,2007,76.4,23.6
Other chemicals,2,2007,78.3,21.8
Other chemicals,3,2007,77.6,22.4
Other chemicals,4,2007,79.6,20.4
Other chemicals,1,2008,79.8,20.2
Other chemicals,2,2008,79.2,20.8
Other chemicals,3,2008,79.7,20.3
Other chemicals,4,2008,79.5,20.5
Other chemicals,1,2009,78.4,21.6
Other chemicals,2,2009,75.1,24.9
Other chemicals,3,2009,76.8,23.2
Other chemicals,4,2009,80.4,19.6
Other chemicals,1,2010,79.7,20.3
Other chemicals,2,2010,79.4,20.6
Other chemicals,3,2010,78.3,21.7
Other chemicals,4,2010,81.6,18.4
Other chemicals,1,2011,79.6,20.4
Other chemicals,2,2011,80.3,19.7
Other chemicals,3,2011,80.4,19.6
Other chemicals,4,2011,82.8,17.2
Other chemicals,1,2012,82.3,17.7
Other chemicals,2,2012,83.4,16.6
Other chemicals,3,2012,82.9,17.1
Other chemicals,4,2012,84.3,15.7
Other chemicals,1,2013,81.9,18.1
Other chemicals,2,2013,80.4,19.6
Other chemicals,3,2013,83.0,17.0
Other chemicals,4,2013,84.0,16.0
Other chemicals,1,2014,83.0,17.0
Other chemicals,2,2014,83.0,17.0
Other chemicals,3,2014,82.9,17.1
Other chemicals,4,2014,84.0,16.0
Other chemicals,1,2015,83.3,16.7
Other chemicals,2,2015,83.9,16.1
Other chemicals,3,2015,84.1,15.9
Other chemicals,4,2015,84.2,15.8
Other chemicals,1,2016,84.0,16.0
Other chemicals,2,2016,86.0,14.0
Other chemicals,3,2016,86.2,13.8
Other chemicals,4,2016,85.1,14.9
Other chemicals,1,2017,83.6,16.4
Other chemicals,2,2017,85.3,14.7
Other chemicals,3,2017,86.2,13.8
Other chemicals,4,2017,86.6,13.4
Other chemicals,1,2018,86.5,13.5
Other chemicals,2,2018,84.4,15.6
Other chemicals,3,2018,84.7,15.3
Other chemicals,4,2018,87.0,13.0
Other chemicals,1,2019,85.9,14.1
Other chemicals,2,2019,85.3,14.7
Other chemicals,3,2019,84.0,16.0
Other chemicals,4,2019,84.2,15.8
Other chemicals,1,2020,84.0,16.0
Other chemicals,2,2020,78.5,21.5
Other chemicals,3,2020,82.3,17.7
Other chemicals,4,2020,84.0,16.0
Other chemicals,1,2021,83.4,16.6
Other chemicals,2,2021,83.5,16.5
Other chemicals,3,2021,83.1,16.9
Other chemicals,4,2021,83.7,16.3
Rubber products,4,2003,84.9,15.1
Rubber products,1,2004,80.5,19.5
Rubber products,2,2004,85.1,14.9
Rubber products,3,2004,90.0,10.0
Rubber products,4,2004,93.4,6.6
Rubber products,1,2005,89.6,10.4
Rubber products,2,2005,90.0,10.0
Rubber products,3,2005,88.1,11.9
Rubber products,4,2005,87.7,12.3
Rubber products,1,2006,88.1,11.9
Rubber products,2,2006,88.4,11.7
Rubber products,3,2006,83.5,16.5
Rubber products,4,2006,83.2,16.9
Rubber products,1,2007,81.9,18.1
Rubber products,2,2007,84.5,15.5
Rubber products,3,2007,73.1,26.9
Rubber products,4,2007,87.4,12.6
Rubber products,1,2008,84.7,15.3
Rubber products,2,2008,88.6,11.4
Rubber products,3,2008,87.8,12.2
Rubber products,4,2008,83.3,16.7
Rubber products,1,2009,81.1,18.9
Rubber products,2,2009,80.3,19.7
Rubber products,3,2009,74.3,25.7
Rubber products,4,2009,74.3,25.7
Rubber products,1,2010,78.2,21.8
Rubber products,2,2010,79.3,20.7
Rubber products,3,2010,83.0,17.0
Rubber products,4,2010,84.2,15.8
Rubber products,1,2011,83.2,16.8
Rubber products,2,2011,84.0,16.0
Rubber products,3,2011,84.5,15.5
Rubber products,4,2011,90.0,10.0
Rubber products,1,2012,87.4,12.6
Rubber products,2,2012,88.4,11.6
Rubber products,3,2012,85.2,14.8
Rubber products,4,2012,92.0,8.0
Rubber products,1,2013,87.3,12.7
Rubber products,2,2013,86.9,13.1
Rubber products,3,2013,81.1,18.9
Rubber products,4,2013,85.3,14.7
Rubber products,1,2014,85.0,15.0
Rubber products,2,2014,82.3,17.7
Rubber products,3,2014,79.3,20.7
Rubber products,4,2014,85.6,14.4
Rubber products,1,2015,78.2,21.8
Rubber products,2,2015,80.2,19.8
Rubber products,3,2015,79.0,21.0
Rubber products,4,2015,82.4,17.6
Rubber products,1,2016,82.2,17.8
Rubber products,2,2016,84.7,15.3
Rubber products,3,2016,84.7,15.3
Rubber products,4,2016,85.1,14.9
Rubber products,1,2017,84.7,15.3
Rubber products,2,2017,83.7,16.3
Rubber products,3,2017,83.7,16.3
Rubber products,4,2017,83.2,16.8
Rubber products,1,2018,81.4,18.6
Rubber products,2,2018,84.1,15.9
Rubber products,3,2018,85.5,14.5
Rubber products,4,2018,85.2,14.8
Rubber products,1,2019,84.8,15.2
Rubber products,2,2019,84.9,15.1
Rubber products,3,2019,83.6,16.4
Rubber products,4,2019,80.7,19.3
Rubber products,1,2020,81.9,18.1
Rubber products,2,2020,50.0,50.0
Rubber products,3,2020,67.9,32.1
Rubber products,4,2020,81.1,18.9
Rubber products,1,2021,82.0,18.0
Rubber products,2,2021,79.6,20.4
Rubber products,3,2021,83.5,16.5
Rubber products,4,2021,82.4,17.6
Plastic products,4,2003,81.1,18.9
Plastic products,1,2004,81.9,18.1
Plastic products,2,2004,81.3,18.7
Plastic products,3,2004,83.8,16.2
Plastic products,4,2004,85.0,15.0
Plastic products,1,2005,80.3,19.7
Plastic products,2,2005,78.4,21.6
Plastic products,3,2005,81.1,19.0
Plastic products,4,2005,83.2,16.8
Plastic products,1,2006,79.9,20.1
Plastic products,2,2006,80.6,19.4
Plastic products,3,2006,81.4,18.6
Plastic products,4,2006,84.5,15.5
Plastic products,1,2007,82.9,17.1
Plastic products,2,2007,83.3,16.8
Plastic products,3,2007,82.0,18.0
Plastic products,4,2007,85.4,14.6
Plastic products,1,2008,83.1,16.9
Plastic products,2,2008,81.0,19.0
Plastic products,3,2008,83.4,16.6
Plastic products,4,2008,83.7,16.3
Plastic products,1,2009,83.4,16.6
Plastic products,2,2009,82.4,17.6
Plastic products,3,2009,81.8,18.2
Plastic products,4,2009,82.6,17.4
Plastic products,1,2010,81.7,18.3
Plastic products,2,2010,81.8,18.2
Plastic products,3,2010,81.2,18.8
Plastic products,4,2010,84.9,15.1
Plastic products,1,2011,81.7,18.3
Plastic products,2,2011,82.1,17.9
Plastic products,3,2011,84.8,15.2
Plastic products,4,2011,88.7,11.3
Plastic products,1,2012,83.2,16.8
Plastic products,2,2012,84.3,15.7
Plastic products,3,2012,88.0,12.0
Plastic products,4,2012,88.2,11.8
Plastic products,1,2013,83.8,16.2
Plastic products,2,2013,84.5,15.5
Plastic products,3,2013,84.1,15.9
Plastic products,4,2013,86.6,13.4
Plastic products,1,2014,84.1,15.9
Plastic products,2,2014,83.2,16.8
Plastic products,3,2014,85.0,15.0
Plastic products,4,2014,85.8,14.2
Plastic products,1,2015,82.2,17.8
Plastic products,2,2015,81.6,18.4
Plastic products,3,2015,83.7,16.3
Plastic products,4,2015,85.4,14.6
Plastic products,1,2016,83.2,16.8
Plastic products,2,2016,82.9,17.1
Plastic products,3,2016,83.7,16.3
Plastic products,4,2016,85.1,14.9
Plastic products,1,2017,82.7,17.3
Plastic products,2,2017,82.8,17.2
Plastic products,3,2017,83.3,16.7
Plastic products,4,2017,85.7,14.3
Plastic products,1,2018,83.4,16.6
Plastic products,2,2018,84.2,15.8
Plastic products,3,2018,84.3,15.7
Plastic products,4,2018,84.9,15.1
Plastic products,1,2019,82.7,17.3
Plastic products,2,2019,82.7,17.3
Plastic products,3,2019,83.1,16.9
Plastic products,4,2019,83.3,16.7
Plastic products,1,2020,82.6,17.4
Plastic products,2,2020,76.3,23.7
Plastic products,3,2020,82.9,17.1
Plastic products,4,2020,83.0,17.0
Plastic products,1,2021,83.6,16.4
Plastic products,2,2021,84.0,16.0
Plastic products,3,2021,85.5,14.5
Plastic products,4,2021,84.1,15.9
Glass and glass products,4,2003,95.7,4.3
Glass and glass products,1,2004,94.7,5.3
Glass and glass products,2,2004,94.8,5.2
Glass and glass products,3,2004,96.1,3.9
Glass and glass products,4,2004,95.6,4.4
Glass and glass products,1,2005,92.8,7.2
Glass and glass products,2,2005,93.6,6.4
Glass and glass products,3,2005,96.6,3.4
Glass and glass products,4,2005,95.2,4.8
Glass and glass products,1,2006,94.5,5.6
Glass and glass products,2,2006,95.2,4.8
Glass and glass products,3,2006,94.6,5.4
Glass and glass products,4,2006,97.5,2.5
Glass and glass products,1,2007,94.2,5.8
Glass and glass products,2,2007,94.1,6.0
Glass and glass products,3,2007,90.4,9.6
Glass and glass products,4,2007,94.3,5.7
Glass and glass products,1,2008,93.1,6.9
Glass and glass products,2,2008,93.2,6.8
Glass and glass products,3,2008,93.9,6.1
Glass and glass products,4,2008,91.3,8.7
Glass and glass products,1,2009,89.1,10.9
Glass and glass products,2,2009,86.7,13.3
Glass and glass products,3,2009,86.3,13.7
Glass and glass products,4,2009,90.7,9.4
Glass and glass products,1,2010,86.1,13.9
Glass and glass products,2,2010,85.1,14.9
Glass and glass products,3,2010,87.5,12.5
Glass and glass products,4,2010,89.1,10.9
Glass and glass products,1,2011,87.2,12.8
Glass and glass products,2,2011,84.9,15.1
Glass and glass products,3,2011,86.0,14.0
Glass and glass products,4,2011,91.9,8.1
Glass and glass products,1,2012,86.9,13.1
Glass and glass products,2,2012,85.2,14.8
Glass and glass products,3,2012,92.3,7.7
Glass and glass products,4,2012,93.5,6.5
Glass and glass products,1,2013,85.4,14.6
Glass and glass products,2,2013,85.6,14.4
Glass and glass products,3,2013,87.5,12.5
Glass and glass products,4,2013,86.8,13.2
Glass and glass products,1,2014,86.0,14.0
Glass and glass products,2,2014,80.2,19.8
Glass and glass products,3,2014,81.8,18.2
Glass and glass products,4,2014,84.6,15.4
Glass and glass products,1,2015,79.3,20.7
Glass and glass products,2,2015,79.2,20.8
Glass and glass products,3,2015,79.7,20.3
Glass and glass products,4,2015,85.5,14.5
Glass and glass products,1,2016,84.2,15.8
Glass and glass products,2,2016,87.9,12.1
Glass and glass products,3,2016,86.2,13.8
Glass and glass products,4,2016,84.6,15.4
Glass and glass products,1,2017,80.9,19.1
Glass and glass products,2,2017,82.3,17.7
Glass and glass products,3,2017,85.0,15.0
Glass and glass products,4,2017,86.0,14.0
Glass and glass products,1,2018,82.3,17.7
Glass and glass products,2,2018,84.9,15.1
Glass and glass products,3,2018,87.2,12.8
Glass and glass products,4,2018,88.6,11.4
Glass and glass products,1,2019,86.2,13.8
Glass and glass products,2,2019,89.9,10.1
Glass and glass products,3,2019,88.5,11.5
Glass and glass products,4,2019,89.9,10.1
Glass and glass products,1,2020,81.0,19.0
Glass and glass products,2,2020,49.5,50.5
Glass and glass products,3,2020,85.3,14.7
Glass and glass products,4,2020,89.9,10.1
Glass and glass products,1,2021,80.2,19.8
Glass and glass products,2,2021,88.0,12.0
Glass and glass products,3,2021,90.2,9.8
Glass and glass products,4,2021,88.8,11.2
Non-metallic mineral products,4,2003,85.6,14.4
Non-metallic mineral products,1,2004,84.2,15.8
Non-metallic mineral products,2,2004,84.0,16.0
Non-metallic mineral products,3,2004,86.7,13.3
Non-metallic mineral products,4,2004,88.3,11.7
Non-metallic mineral products,1,2005,88.5,11.5
Non-metallic mineral products,2,2005,86.8,13.2
Non-metallic mineral products,3,2005,89.3,10.7
Non-metallic mineral products,4,2005,90.7,9.4
Non-metallic mineral products,1,2006,83.6,16.4
Non-metallic mineral products,2,2006,87.3,12.8
Non-metallic mineral products,3,2006,87.0,13.0
Non-metallic mineral products,4,2006,90.3,9.7
Non-metallic mineral products,1,2007,86.8,13.2
Non-metallic mineral products,2,2007,89.0,11.1
Non-metallic mineral products,3,2007,87.4,12.6
Non-metallic mineral products,4,2007,87.3,12.7
Non-metallic mineral products,1,2008,86.3,13.7
Non-metallic mineral products,2,2008,84.9,15.1
Non-metallic mineral products,3,2008,86.4,13.6
Non-metallic mineral products,4,2008,84.5,15.5
Non-metallic mineral products,1,2009,79.5,20.5
Non-metallic mineral products,2,2009,82.8,17.2
Non-metallic mineral products,3,2009,78.3,21.7
Non-metallic mineral products,4,2009,79.7,20.3
Non-metallic mineral products,1,2010,76.6,23.4
Non-metallic mineral products,2,2010,77.6,22.4
Non-metallic mineral products,3,2010,75.6,24.4
Non-metallic mineral products,4,2010,76.9,23.1
Non-metallic mineral products,1,2011,73.7,26.3
Non-metallic mineral products,2,2011,77.1,22.9
Non-metallic mineral products,3,2011,78.0,22.0
Non-metallic mineral products,4,2011,77.8,22.2
Non-metallic mineral products,1,2012,74.6,25.4
Non-metallic mineral products,2,2012,77.2,22.8
Non-metallic mineral products,3,2012,74.1,25.9
Non-metallic mineral products,4,2012,77.8,22.2
Non-metallic mineral products,1,2013,74.0,26.0
Non-metallic mineral products,2,2013,78.0,22.0
Non-metallic mineral products,3,2013,82.1,17.9
Non-metallic mineral products,4,2013,81.2,18.8
Non-metallic mineral products,1,2014,79.4,20.6
Non-metallic mineral products,2,2014,81.3,18.7
Non-metallic mineral products,3,2014,78.6,21.4
Non-metallic mineral products,4,2014,80.7,19.3
Non-metallic mineral products,1,2015,76.2,23.8
Non-metallic mineral products,2,2015,78.0,22.0
Non-metallic mineral products,3,2015,79.8,20.2
Non-metallic mineral products,4,2015,85.1,14.9
Non-metallic mineral products,1,2016,80.3,19.7
Non-metallic mineral products,2,2016,80.5,19.5
Non-metallic mineral products,3,2016,80.6,19.4
Non-metallic mineral products,4,2016,83.4,16.6
Non-metallic mineral products,1,2017,79.0,21.0
Non-metallic mineral products,2,2017,81.1,18.9
Non-metallic mineral products,3,2017,80.3,19.7
Non-metallic mineral products,4,2017,80.7,19.3
Non-metallic mineral products,1,2018,79.9,20.1
Non-metallic mineral products,2,2018,79.3,20.7
Non-metallic mineral products,3,2018,81.0,19.0
Non-metallic mineral products,4,2018,81.2,18.8
Non-metallic mineral products,1,2019,76.0,24.0
Non-metallic mineral products,2,2019,75.6,24.4
Non-metallic mineral products,3,2019,73.0,27.0
Non-metallic mineral products,4,2019,75.9,24.1
Non-metallic mineral products,1,2020,72.3,27.7
Non-metallic mineral products,2,2020,42.0,58.0
Non-metallic mineral products,3,2020,67.8,32.2
Non-metallic mineral products,4,2020,75.7,24.3
Non-metallic mineral products,1,2021,69.9,30.1
Non-metallic mineral products,2,2021,75.1,24.9
Non-metallic mineral products,3,2021,77.1,22.9
Non-metallic mineral products,4,2021,75.5,24.5
Basic iron and steel products,4,2003,88.5,11.5
Basic iron and steel products,1,2004,87.0,13.0
Basic iron and steel products,2,2004,87.3,12.7
Basic iron and steel products,3,2004,94.8,5.2
Basic iron and steel products,4,2004,92.4,7.6
Basic iron and steel products,1,2005,91.9,8.1
Basic iron and steel products,2,2005,91.9,8.1
Basic iron and steel products,3,2005,87.5,12.5
Basic iron and steel products,4,2005,90.2,9.9
Basic iron and steel products,1,2006,85.8,14.2
Basic iron and steel products,2,2006,83.5,16.5
Basic iron and steel products,3,2006,85.7,14.3
Basic iron and steel products,4,2006,87.1,12.9
Basic iron and steel products,1,2007,84.0,16.0
